epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1904,0.60201,0.40071,1.0728,0.12049,0.98328,0.98065,0.99439,0.88329,0.51901,0.34615,1.07488,0.09203,0.00043,0.00043,0.05743
2,9.6504,0.55642,0.36473,1.04784,0.10638,0.98517,0.98704,0.99463,0.88428,0.49773,0.31686,1.07839,0.08966,0.00086915,0.00086915,0.0138692
3,14.2061,0.5289,0.32928,1.06239,0.10197,0.98876,0.99078,0.99479,0.89776,0.48263,0.30139,1.0615,0.08319,0.000996097,0.000996097,0.000996097
4,18.6692,0.52656,0.331,1.05337,0.1,0.99408,0.98988,0.99473,0.90043,0.47704,0.29486,1.05755,0.08366,0.000991232,0.000991232,0.000991232
5,23.0807,0.51808,0.32318,1.04179,0.09429,0.99692,0.99034,0.99485,0.89665,0.47365,0.2941,1.05437,0.08225,0.000984449,0.000984449,0.000984449
6,27.5428,0.51657,0.32798,1.04633,0.09533,0.99442,0.99145,0.99472,0.89881,0.47039,0.29024,1.04834,0.0831,0.000975773,0.000975773,0.000975773
7,32.0109,0.51528,0.32365,1.04495,0.09625,0.99703,0.9901,0.99482,0.89868,0.47649,0.29013,1.05305,0.08247,0.000965239,0.000965239,0.000965239
8,36.3018,0.51439,0.32236,1.05361,0.09556,0.99262,0.9879,0.99482,0.89747,0.47856,0.29415,1.05709,0.08558,0.000952889,0.000952889,0.000952889
9,40.658,0.51239,0.3188,1.04746,0.094,0.99071,0.98565,0.99483,0.90515,0.47081,0.28512,1.04849,0.08333,0.000938772,0.000938772,0.000938772
10,44.9945,0.50781,0.31564,1.03725,0.09373,0.99255,0.98757,0.99486,0.9023,0.4736,0.28633,1.05187,0.08365,0.000922942,0.000922942,0.000922942
11,49.5273,0.50942,0.31969,1.02885,0.09299,0.99142,0.9888,0.99483,0.90067,0.476,0.28647,1.05454,0.08205,0.000905463,0.000905463,0.000905463
12,53.9302,0.50913,0.31052,1.03505,0.09628,0.98916,0.99503,0.9949,0.90163,0.47114,0.28209,1.05911,0.08725,0.000886404,0.000886404,0.000886404
13,58.3372,0.50713,0.3114,1.03384,0.09363,0.99153,0.99859,0.99497,0.90245,0.46643,0.27968,1.05555,0.08562,0.000865839,0.000865839,0.000865839
14,62.6738,0.50682,0.31221,1.03745,0.09394,0.99421,0.99353,0.99496,0.90194,0.46775,0.27699,1.05933,0.08619,0.000843851,0.000843851,0.000843851
15,67.2741,0.5074,0.3078,1.0341,0.09642,0.99518,0.9922,0.99496,0.89409,0.48553,0.28574,1.06376,0.09041,0.000820525,0.000820525,0.000820525
16,71.7104,0.50815,0.30689,1.05404,0.09426,0.99338,0.99398,0.99493,0.89632,0.48139,0.28445,1.05251,0.08645,0.000795954,0.000795954,0.000795954
17,76.0696,0.50491,0.3094,1.02844,0.09386,0.99172,0.99872,0.995,0.89925,0.4718,0.2804,1.05018,0.08449,0.000770234,0.000770234,0.000770234
18,80.5884,0.5003,0.30858,1.03145,0.09317,0.99089,0.99983,0.995,0.89938,0.47297,0.28036,1.05245,0.08443,0.000743468,0.000743468,0.000743468
19,85.0691,0.50766,0.30963,1.0413,0.09401,0.99118,0.99983,0.995,0.89732,0.47007,0.28004,1.05256,0.08467,0.000715761,0.000715761,0.000715761
20,89.4159,0.49768,0.30102,1.02956,0.09109,0.99732,0.99197,0.995,0.89879,0.46667,0.28139,1.05209,0.08583,0.000687222,0.000687222,0.000687222
21,93.8887,0.50093,0.30656,1.04053,0.09089,0.99113,0.99121,0.99483,0.89846,0.46843,0.28202,1.04821,0.0839,0.000657963,0.000657963,0.000657963
22,98.3812,0.50187,0.30613,1.03385,0.09338,0.99319,0.99165,0.99429,0.89773,0.46781,0.28032,1.04646,0.08597,0.000628101,0.000628101,0.000628101
23,102.756,0.50096,0.30418,1.02682,0.09084,0.99416,0.99195,0.99485,0.8949,0.47397,0.28272,1.04416,0.0851,0.000597754,0.000597754,0.000597754
24,107.187,0.49252,0.30006,1.03153,0.08948,0.99692,0.99101,0.99489,0.90164,0.46417,0.2805,1.0452,0.08504,0.00056704,0.00056704,0.00056704
25,111.649,0.49789,0.3022,1.03631,0.09354,0.99498,0.99087,0.99492,0.90388,0.46263,0.28011,1.05106,0.08696,0.000536081,0.000536081,0.000536081
26,116.08,0.49923,0.30264,1.03981,0.09122,0.98754,0.99912,0.99487,0.90357,0.46739,0.28313,1.05337,0.08604,0.000505,0.000505,0.000505
27,120.569,0.49586,0.30014,1.02909,0.09121,0.99053,0.9981,0.99487,0.90496,0.46001,0.27853,1.04554,0.08303,0.000473919,0.000473919,0.000473919
28,125.045,0.49605,0.30109,1.03569,0.09231,0.99395,0.99274,0.99493,0.90513,0.46291,0.27792,1.0499,0.08676,0.00044296,0.00044296,0.00044296
29,129.517,0.49772,0.30393,1.02864,0.0929,0.99297,0.9986,0.99487,0.89978,0.47141,0.27835,1.05101,0.08674,0.000412246,0.000412246,0.000412246
