epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8892,1.51571,6.99111,2.37404,0.25605,0.41467,0.54779,0.2471,0.154,1.07494,4.49477,2.39222,0.23287,0.0021,0.0021,0.0811
2,63.1438,1.23644,4.01867,2.12484,0.23538,0.7216,0.77125,0.78898,0.60811,0.94831,2.53994,2.0606,0.21208,0.00429974,0.00429974,0.0612997
3,164.893,1.15224,2.56707,1.88479,0.23564,0.73249,0.86757,0.91145,0.69613,0.90271,2.3247,1.89795,0.21002,0.00649841,0.00649841,0.0414984
4,263.035,1.04802,1.94368,1.82239,0.22192,0.83818,0.88419,0.93481,0.72013,0.8909,1.88815,1.80712,0.22577,0.00869522,0.00869522,0.0216952
5,268.293,1.00954,1.73503,1.70168,0.21908,0.90687,0.84243,0.92718,0.70689,0.90359,1.57346,1.66602,0.23965,0.00999023,0.00999023,0.00999023
6,276.303,0.96174,1.49219,1.63943,0.21405,0.89452,0.82005,0.90684,0.70024,0.89872,1.66843,1.66717,0.19042,0.00998474,0.00998474,0.00998474
7,292.059,0.942,1.42901,1.53563,0.20253,0.88265,0.91309,0.95945,0.77812,0.75502,1.45006,1.55592,0.17325,0.00997803,0.00997803,0.00997803
8,319.131,0.89322,1.39183,1.51019,0.19059,0.91659,0.9453,0.96855,0.79589,0.73311,1.16684,1.47609,0.16417,0.00997011,0.00997011,0.00997011
9,341.588,0.88902,1.32535,1.4368,0.18287,0.90746,0.91958,0.97485,0.7946,0.75202,1.2192,1.47678,0.16818,0.00996097,0.00996097,0.00996097
10,346.883,0.86532,1.23715,1.37923,0.1795,0.95857,0.96649,0.99039,0.82711,0.70164,0.95897,1.30907,0.18795,0.00995062,0.00995062,0.00995062
