epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.42817,1.56408,3.80108,2.24751,0.27032,0.21446,0.64428,0.32491,0.22442,1.06335,2.65303,2.18011,0.20992,0.0021,0.0021,0.0811
2,12.3796,1.24466,2.27655,1.91246,0.24883,0.43735,0.80385,0.49732,0.38479,1.02164,1.8499,1.99312,0.2112,0.00429974,0.00429974,0.0612997
3,16.5994,1.2122,1.66488,1.71407,0.25792,0.56853,0.85567,0.67093,0.48907,1.04431,1.4576,1.75699,0.23273,0.00649841,0.00649841,0.0414984
4,20.5067,1.11629,1.3205,1.64416,0.24975,0.77793,0.84249,0.86877,0.66524,0.94025,0.96478,1.62064,0.24569,0.00869522,0.00869522,0.0216952
5,23.9013,1.0723,1.08679,1.51618,0.2341,0.82881,0.8684,0.91472,0.71547,0.84397,0.82528,1.4781,0.22257,0.00999023,0.00999023,0.00999023
6,28.1715,1.00149,0.87379,1.47493,0.23088,0.9375,0.91206,0.96559,0.76462,0.84228,0.65966,1.38139,0.20012,0.00998474,0.00998474,0.00998474
7,31.6369,0.99044,0.83262,1.37068,0.22014,0.82071,0.89486,0.95137,0.75991,0.80503,0.88011,1.33274,0.20953,0.00997803,0.00997803,0.00997803
8,35.4886,0.95989,0.79021,1.36149,0.21097,0.92807,0.94604,0.97605,0.78368,0.78103,0.58807,1.23981,0.18708,0.00997011,0.00997011,0.00997011
9,38.9026,0.94587,0.75362,1.2818,0.20356,0.94668,0.92256,0.9745,0.79975,0.77647,0.58936,1.22511,0.19077,0.00996097,0.00996097,0.00996097
10,42.3178,0.91276,0.68689,1.26258,0.19552,0.83593,0.84143,0.9182,0.7409,0.82517,0.89774,1.23067,0.18681,0.00995062,0.00995062,0.00995062
11,45.6238,0.90399,0.68539,1.23494,0.19165,0.87421,0.93555,0.96721,0.78442,0.77238,0.62946,1.19136,0.17611,0.00993906,0.00993906,0.00993906
