epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40094,0.51539,0.62764,1.0089,0.09276,0.99435,0.99848,0.99497,0.88351,0.50556,0.59608,1.05339,0.09226,0.00043,0.00043,0.05743
2,14.5082,0.46468,0.53571,0.99776,0.07708,0.99511,0.99525,0.99497,0.90902,0.44658,0.49028,1.05472,0.08002,0.00086915,0.00086915,0.0138692
3,21.6082,0.44403,0.49532,1.00885,0.06936,0.9957,0.99438,0.99491,0.90794,0.43962,0.47937,1.05445,0.07488,0.000996097,0.000996097,0.000996097
4,28.6991,0.44658,0.48997,1.00554,0.06982,0.99556,0.99396,0.99494,0.90842,0.4351,0.48196,1.04881,0.07363,0.000991232,0.000991232,0.000991232
5,35.8308,0.43674,0.48467,0.99768,0.06798,0.98803,0.99384,0.99485,0.91023,0.43646,0.49054,1.051,0.07509,0.000984449,0.000984449,0.000984449
6,43.0476,0.43909,0.49003,1.0027,0.06958,0.99573,0.99417,0.99491,0.91748,0.429,0.48369,1.04834,0.07672,0.000975773,0.000975773,0.000975773
7,50.1483,0.43703,0.48606,1.00179,0.06753,0.99223,0.99469,0.995,0.91227,0.4365,0.47941,1.05334,0.07608,0.000965239,0.000965239,0.000965239
8,57.1363,0.43762,0.48911,1.0079,0.06936,0.99801,0.98832,0.99497,0.91348,0.43964,0.48273,1.06002,0.0775,0.000952889,0.000952889,0.000952889
9,64.1752,0.4376,0.48393,1.00371,0.06885,0.99517,0.99042,0.99497,0.91206,0.43629,0.4888,1.05948,0.07923,0.000938772,0.000938772,0.000938772
10,71.1685,0.43242,0.48334,0.98945,0.06689,0.99253,0.98752,0.99491,0.91149,0.43385,0.49427,1.06604,0.07702,0.000922942,0.000922942,0.000922942
11,78.2455,0.43167,0.48478,0.99449,0.06478,0.99597,0.9862,0.99497,0.91163,0.44701,0.48214,1.06972,0.08112,0.000905463,0.000905463,0.000905463
12,85.2393,0.4304,0.48,0.98955,0.0666,0.99209,0.99906,0.99494,0.91523,0.43905,0.47646,1.0643,0.07879,0.000886404,0.000886404,0.000886404
13,92.5824,0.43436,0.47827,0.99039,0.06805,0.98768,0.99665,0.99488,0.91028,0.43631,0.4778,1.05834,0.0768,0.000865839,0.000865839,0.000865839
14,99.7058,0.43174,0.4848,0.99393,0.06504,0.9883,0.99394,0.99488,0.91447,0.43189,0.47345,1.05346,0.07833,0.000843851,0.000843851,0.000843851
15,106.866,0.43328,0.47877,0.9962,0.06858,0.99752,0.99586,0.995,0.91085,0.44101,0.47391,1.05454,0.08037,0.000820525,0.000820525,0.000820525
16,114.082,0.43492,0.48231,1.00898,0.06672,0.99905,0.99921,0.995,0.90646,0.4454,0.476,1.05237,0.07821,0.000795954,0.000795954,0.000795954
17,121.307,0.42832,0.47809,0.98102,0.06212,0.99398,0.99159,0.99481,0.90779,0.44079,0.47804,1.05204,0.07868,0.000770234,0.000770234,0.000770234
18,128.467,0.43322,0.48563,0.98828,0.06683,0.99103,0.99172,0.99481,0.90905,0.44171,0.48931,1.05678,0.07922,0.000743468,0.000743468,0.000743468
19,135.635,0.43562,0.48055,0.99459,0.06612,0.9921,0.99281,0.99474,0.91113,0.4391,0.49166,1.05888,0.07894,0.000715761,0.000715761,0.000715761
20,142.865,0.42519,0.46827,0.98544,0.06214,0.9933,0.99099,0.99474,0.9138,0.43391,0.48692,1.05847,0.07764,0.000687222,0.000687222,0.000687222
21,150.211,0.42456,0.47426,0.99806,0.0636,0.99285,0.99132,0.99487,0.91284,0.43748,0.48336,1.06394,0.07614,0.000657963,0.000657963,0.000657963
22,157.492,0.43418,0.47545,0.99384,0.06546,0.99066,0.99224,0.9947,0.91033,0.43578,0.48615,1.06386,0.07794,0.000628101,0.000628101,0.000628101
23,164.946,0.42978,0.47462,0.99106,0.06341,0.99155,0.99398,0.99474,0.9098,0.44192,0.48527,1.06567,0.07938,0.000597754,0.000597754,0.000597754
24,172.555,0.42289,0.46922,0.99725,0.06205,0.99198,0.9939,0.99477,0.91033,0.43735,0.48037,1.0625,0.07863,0.00056704,0.00056704,0.00056704
25,180.279,0.42226,0.47048,1.00083,0.0635,0.99189,0.99466,0.99494,0.91575,0.43027,0.47391,1.05572,0.07953,0.000536081,0.000536081,0.000536081
26,187.852,0.42318,0.4686,0.99684,0.06383,0.99212,0.99701,0.99497,0.91249,0.43246,0.46893,1.05522,0.07901,0.000505,0.000505,0.000505
